No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;
72;3,092253;;3,092253;3,092833;0,00058;;0,00058;-0,001037;-0,001617;;;
73;3,092833;;3,092833;3,092833;0;;-0,001037;0,001037;0,002074;;;
74;3,092833;;3,092833;3,09387;0,001037;;0,001037;-0,000506;-0,001543;;;
75;3,09387;;3,09387;3,09387;0;;-0,000506;-0,011464;-0,010958;;;
76;3,09387;;3,09387;3,094376;0,000506;;-0,011464;0,010665;0,022129;;;
77;3,094376;;3,094376;3,106346;0,01197;;0,010665;0,001305;-0,00936;;;
78;3,106346;;3,106346;3,107651;0,001305;;0,001305;0;-0,001305;;;
79;3,107651;;3,107651;3,107651;0;;0;-0,000294;-0,000294;;;
80;3,107651;;3,107651;3,107651;0;;-0,000294;-0,000983;-0,000689;;;
81;3,107651;;3,107651;3,107945;0,000294;;-0,000983;-0,004226;-0,003243;;;
82;3,107945;;3,107945;3,109222;0,001277;;-0,004226;0,004923;0,009149;;;
83;3,109222;;3,109222;3,114725;0,005503;;0,004923;-0,000279;-0,005202;;;
84;3,114725;;3,114725;3,115305;0,00058;;-0,000279;-0,005754;-0,005475;;;
85;3,115305;;3,115305;3,116164;0,000859;;-0,005754;-0,000926;0,004828;;;
86;3,116164;;3,116164;3,122777;0,006613;;-0,000926;0,007539;0,008465;;;
87;3,122777;;3,122777;3,130316;0,007539;;0,007539;-0,00045;-0,007989;;;
88;3,130316;;3,130316;3,130316;0;;-0,00045;-0,001552;-0,001102;;;
89;3,130316;;3,130316;3,130766;0,00045;;-0,001552;0,002002;0,003554;;;
90;3,130766;;3,130766;3,132768;0,002002;;0,002002;0;-0,002002;;;
91;3,132768;;3,132768;3,132768;0;;0;-0,000161;-0,000161;;;
92;3,132768;;3,132768;3,132768;0;;-0,000161;0,000161;0,000322;;;
93;3,132768;;3,132768;3,132929;0,000161;;0,000161;-0,003518;-0,003679;;;
94;3,132929;;3,132929;3,132929;0;;-0,003518;0,003518;0,007036;;;
95;3,132929;;3,132929;3,136447;0,003518;;0,003518;-0,000394;-0,003912;;;
96;3,136447;;3,136447;3,136447;0;;-0,000394;-0,00028;0,000114;;;
97;3,136447;;3,136447;3,136841;0,000394;;-0,00028;-0,002011;-0,001731;;;
98;3,136841;;3,136841;3,137515;0,000674;;-0,002011;-0,001861;0,00015;;;
99;3,137515;;3,137515;3,1402;0,002685;;-0,001861;-0,001393;0,000468;;;
100;3,1402;;3,1402;3,144746;0,004546;;-0,001393;0,004985;0,006378;;;
101;3,144746;;3,144746;3,150685;0,005939;;0,004985;0,000954;-0,004031;;;
102;3,150685;;3,150685;3,151639;0,000954;;0,000954;-0,000798;-0,001752;;;
103;3,151639;;3,151639;3,151639;0;;-0,000798;-0,00526;-0,004462;;;
104;3,151639;;3,151639;3,152437;0,000798;;-0,00526;0,005726;0,010986;;;
105;3,152437;;3,152437;3,158495;0,006058;;0,005726;-0,003192;-0,008918;;;
106;3,158495;;3,158495;3,158827;0,000332;;-0,003192;0,003524;0,006716;;;
107;3,158827;;3,158827;3,162351;0,003524;;0,003524;-0,000922;-0,004446;;;
108;3,162351;;3,162351;3,162351;0;;-0,000922;2,20E-05;0,000944;;;
109;3,162351;;3,162351;3,163273;0,000922;;2,20E-05;-0,00365;-0,003672;;;
110;3,163273;;3,163273;3,164173;0,0009;;-0,00365;0,004075;0,007725;;;
111;3,164173;;3,164173;3,168723;0,00455;;0,004075;-0,175638;-0,179713;;;
112;3,168723;;3,168723;3,169198;0,000475;;-0,175638;0,176113;0,351751;;;
113;3,169198;;3,169198;3,345311;0,176113;;0,176113;0;-0,176113;;;
114;3,345311;;3,345311;3,345311;0;;0;-0,001317;-0,001317;;;
115;3,345311;;3,345311;3,345311;0;;-0,001317;0,001317;0,002634;;;
116;3,345311;;3,345311;3,346628;0,001317;;0,001317;0;-0,001317;;;
117;3,346628;;3,346628;3,346628;0;;0;0;0;;;
118;3,346628;;3,346628;3,346628;0;;0;0;0;;;
119;3,346628;;3,346628;3,346628;0;;0;0;0;;;
120;3,346628;;3,346628;3,346628;0;;0;0;0;;;
121;3,346628;;3,346628;3,346628;0;;0;0;0;;;
122;3,346628;;3,346628;3,346628;0;;0;0;0;;;
123;3,346628;;3,346628;3,346628;0;;0;0;0;;;
124;3,346628;;3,346628;3,346628;0;;0;0;0;;;
125;3,346628;;3,346628;3,346628;0;;0;0;0;;;
126;3,346628;;3,346628;3,346628;0;;0;0;0;;;
127;3,346628;;3,346628;3,346628;0;;0;0;0;;;
128;3,346628;;3,346628;3,346628;0;;0;0;0;;;
129;3,346628;;3,346628;3,346628;0;;0;0;0;;;
130;3,346628;;3,346628;3,346628;0;;0;0;0;;;
131;3,346628;;3,346628;3,346628;0;;0;0;0;;;
132;3,346628;;3,346628;3,346628;0;;0;0;0;;;
133;3,346628;;3,346628;3,346628;0;;0;0;0;;;
134;3,346628;;3,346628;3,346628;0;;0;0;0;;;
135;3,346628;;3,346628;3,346628;0;;0;0;0;;;
136;3,346628;;3,346628;3,346628;0;;0;0;0;;;
137;3,346628;;3,346628;3,346628;0;;0;0;0;;;
138;3,346628;;3,346628;3,346628;0;;0;0;0;;;
139;3,346628;;3,346628;3,346628;0;;0;0;0;;;
140;3,346628;;3,346628;3,346628;0;;0;0;0;;;
141;3,346628;;3,346628;3,346628;0;;0;0;0;;;
142;3,346628;;3,346628;3,346628;0;;0;0;0;;;
143;3,346628;;3,346628;3,346628;0;;0;0;0;;;
144;3,346628;;3,346628;3,346628;0;;0;0;0;;;
145;3,346628;;3,346628;3,346628;0;;0;0;0;;;
146;3,346628;;3,346628;3,346628;0;;0;-0,001962;-0,001962;;;
147;3,346628;;3,346628;3,346628;0;;-0,001962;0,001962;0,003924;;;
148;3,346628;;3,346628;3,34859;0,001962;;0,001962;0;-0,001962;;;
149;3,34859;;3,34859;3,34859;0;;0;0;0;;;
150;3,34859;;3,34859;3,34859;0;;0;0;0;;;
151;3,34859;;3,34859;3,34859;0;;0;0;0;;;
152;3,34859;;3,34859;3,34859;0;;0;0;0;;;
153;3,34859;;3,34859;3,34859;0;;0;0;0;;;
154;3,34859;;3,34859;3,34859;0;;0;0;0;;;
155;3,34859;;3,34859;3,34859;0;;0;-2,90E-05;-2,90E-05;;;
156;3,34859;;3,34859;3,34859;0;;-2,90E-05;5,80E-05;8,70E-05;;;
157;3,34859;;3,34859;3,348619;2,90E-05;;5,80E-05;-2,90E-05;-8,70E-05;;;
158;3,348619;;3,348619;3,34859;-2,90E-05;;-2,90E-05;0;2,90E-05;;;
159;3,34859;;3,34859;3,34859;0;;0;0;0;;;
160;3,34859;;3,34859;3,34859;0;;0;0;0;;;
161;3,34859;;3,34859;3,34859;0;;0;-0,000388;-0,000388;;;
162;3,34859;;3,34859;3,34859;0;;-0,000388;0,000116;0,000504;;;
163;3,34859;;3,34859;3,348978;0,000388;;0,000116;0,000236;0,00012;;;
164;3,348978;;3,348978;3,34925;0,000272;;0,000236;3,60E-05;-0,0002;;;
165;3,34925;;3,34925;3,349286;3,60E-05;;3,60E-05;0;-3,60E-05;;;
166;3,349286;;3,349286;3,349286;0;;0;0;0;;;
167;3,349286;;3,349286;3,349286;0;;0;0;0;;;
168;3,349286;;3,349286;3,349286;0;;0;0;0;;;
169;3,349286;;3,349286;3,349286;0;;0;0;0;;;
170;3,349286;;3,349286;3,349286;0;;0;0;0;;;
171;3,349286;;3,349286;3,349286;0;;0;0;0;;;
172;3,349286;;3,349286;3,349286;0;;0;0;0;;;
173;3,349286;;3,349286;3,349286;0;;0;0;0;;;
174;3,349286;;3,349286;3,349286;0;;0;-0,0005;-0,0005;;;
175;3,349286;;3,349286;3,349286;0;;-0,0005;0,000204;0,000704;;;
176;3,349286;;3,349286;3,349786;0,0005;;0,000204;3,60E-05;-0,000168;;;
177;3,349786;;3,349786;3,350082;0,000296;;3,60E-05;-0,001213;-0,001249;;;
178;3,350082;;3,350082;3,350342;0,00026;;-0,001213;0,001473;0,002686;;;
179;3,350342;;3,350342;3,351815;0,001473;;0,001473;0;-0,001473;;;
180;3,351815;;3,351815;3,351815;0;;0;0;0;;;
181;3,351815;;3,351815;3,351815;0;;0;0;0;;;
182;3,351815;;3,351815;3,351815;0;;0;0;0;;;
183;3,351815;;3,351815;3,351815;0;;0;0;0;;;
184;3,351815;;3,351815;3,351815;0;;0;0;0;;;
185;3,351815;;3,351815;3,351815;0;;0;0;0;;;
186;3,351815;;3,351815;3,351815;0;;0;0;0;;;
187;3,351815;;3,351815;3,351815;0;;0;-0,000684;-0,000684;;;
188;3,351815;;3,351815;3,351815;0;;-0,000684;-0,001595;-0,000911;;;
189;3,351815;;3,351815;3,352499;0,000684;;-0,001595;0,002279;0,003874;;;
190;3,352499;;3,352499;3,354778;0,002279;;0,002279;0;-0,002279;;;
191;3,354778;;3,354778;3,354778;0;;0;0;0;;;
192;3,354778;;3,354778;3,354778;0;;0;0;0;;;
193;3,354778;;3,354778;3,354778;0;;0;0;0;;;
